shared_id,10ms,20ms,30ms,40ms,50ms,60ms,70ms,80ms,90ms,100ms,110ms,120ms,130ms,140ms,150ms,160ms,170ms,180ms,190ms,200ms,210ms,220ms,230ms,240ms,250ms,260ms,270ms,280ms,290ms,300ms,310ms,320ms,330ms,340ms,350ms,360ms,370ms,380ms,390ms,400ms,410ms,420ms,430ms,440ms,450ms,460ms,470ms,480ms,490ms,500ms,genuine_transaction
ALL_SEN_3ckvqig,273.5815798733533,270.2961216795387,264.7697749385303,261.7989430631835,254.6678889848502,248.62592752567056,241.11557282971168,231.44150839034901,228.39456296067996,228.59685450810562,229.29192089125164,229.35342140242864,228.2942801692587,227.80902495730936,228.47880169503694,228.05422256340705,228.05422256340705,227.1529491862256,227.30520244156313,227.18119136275342,226.3835116500316,227.16196969783473,227.4849595599674,227.96206003192722,228.32379741717682,228.52716247089757,228.83227377929015,228.83227377929015,228.9385696251289,229.2117284499203,230.15116013828825,231.61266910728352,231.6162246885999,231.85455922625286,231.4920144864613,232.06504077521026,232.06504077521026,232.01094445521315,232.1571300197347,232.29569047659922,232.67207365087887,233.27917102476164,233.10795447817733,232.4646188154232,232.9725790259446,233.19281792327996,232.9077939679134,0.0,0.0,0.0,1
ALL_SEN_3ckvqig,297.9099140109305,297.22485524767274,297.22485524767274,0.0,299.9842101778025,300.83712976293333,302.892705900951,302.93174701407577,303.63784377280774,304.22401504647854,306.33280413465354,307.96894542469704,309.31641598046485,309.5416395430508,309.9628015923846,309.67511598286353,309.72020287026805,309.8190658981464,309.6991696695359,309.6991696695359,309.37867891792416,309.6632872492314,309.6632872492314,309.458042222205,309.30016314415354,309.30016314415354,309.30016314415354,309.26773835788305,309.5672901357635,309.5672901357635,309.53269516967026,309.53269516967026,309.91333746871885,309.91333746871885,309.8777525751083,309.8777525751083,309.8777525751083,309.8472104457292,309.8472104457292,309.9370886244497,309.9370886244497,309.90737181293383,309.90737181293383,310.02748972308893,309.9946473747571,309.9946473747571,309.9946473747571,310.09973123013185,310.06837515619037,0.0,1
cp55tr,205.73469471384743,212.286831892607,232.56163256435917,251.01409049294423,269.97890556115675,268.507184486747,271.84338669719375,272.8604982917095,274.00753360446134,274.0361459753074,273.8387550110466,274.94175781245013,273.76863125274235,273.64905102886803,272.8337611385365,272.3452904310996,271.1214481740609,270.27015131900896,269.4440633415403,268.95050028025605,269.6046338140352,269.97330359500364,269.30550463924794,269.61784525694884,269.2786448439609,269.5109504083276,269.5109504083276,269.5109504083276,269.5109504083276,269.2428750477903,269.56800669404373,269.56800669404373,270.04396827368686,270.04396827368686,269.7995195269999,269.7995195269999,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,269.52731014314674,0.0,1
cp55tr,1367.0065253871321,1443.47706595602,1445.5184769714983,1443.4626006509486,1442.864320603292,1442.5152514871377,1443.3320582405838,1443.4495841864377,1444.2712687158185,1445.3084014925673,1445.1810613916168,1445.1810613916168,1444.8026263770425,0.0,1442.744557261264,1442.9755935416927,1441.985915005067,1440.244830812456,1438.4878057508863,1437.3441531470464,1436.263903063431,1436.9431158521897,1436.3464492280407,1436.775255558433,1437.7871418934028,1439.2825709046854,1439.9780205249663,1440.86062704864,1440.86062704864,1440.8850123680932,1440.546930772476,1440.571740640847,1439.8031649583218,1439.8031649583218,1439.8219588910986,1437.7627839115185,1436.683805346883,1436.0645614236846,1434.3081589627104,1433.4337035109088,1433.7122600957975,1433.2174893549827,1432.8491312039798,1432.6924339595712,1432.736327534833,1432.736327534833,1435.605536893056,1437.6413943974346,0.0,0.0,1
ALL_SEN_3beu7sh,281.96493797811104,280.1922151166945,0.0,274.48910012785575,269.401329490038,264.9207185895433,255.8338966868933,255.40305972129622,255.73874699583558,255.873550829311,256.6566119331431,257.579865170009,258.38564501535296,258.7513563655271,258.93740789812506,258.6168278998874,258.80426001517054,258.75437657554704,258.4493400881496,258.55016431245986,258.90775389702026,259.2695235792283,260.1002989079405,259.66989561556807,259.75081189478504,259.7997565972686,260.0154226579647,260.256312968581,260.3567106336996,260.3567106336996,260.1653025924095,260.2130999411828,260.0110605743533,260.0110605743533,260.4215457311472,260.4215457311472,260.4215457311472,260.72917853780774,260.72917853780774,260.7794155622717,261.1583964972216,261.1583964972216,0.0,261.1583964972216,261.4766690796714,261.4766690796714,261.4766690796714,261.7585226902841,261.7585226902841,0.0,1
ALL_SEN_3beu7sh,1430.0542190140904,1430.0542190140904,0.0,1429.7409585823582,1429.7409585823582,1429.8966849423075,1429.5974515974767,1429.5974515974767,1429.567742843619,1429.567742843619,1429.567742843619,1429.567742843619,1429.567742843619,1429.567742843619,1429.567742843619,1429.567742843619,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,1429.54070380035,0.0,1
ck3frd,247.55325934028824,254.9966245698166,254.91196661985094,256.5681091425823,259.3075562994646,260.3619402869782,260.70075699353083,260.9014626616723,261.3751603863688,260.79771573194427,261.35180004545595,261.4263355249429,260.7368733627831,261.7942933717234,262.00925389191883,262.43261499478297,261.21995493070585,260.69463793104757,261.50932360816506,260.356055575821,261.60279588911123,261.2097555318331,261.2097555318331,261.25513950159905,261.25513950159905,261.25513950159905,261.25513950159905,261.4160115218653,261.4160115218653,261.83220786793976,261.83220786793976,261.83220786793976,262.1825349866005,262.1825349866005,262.32736863125814,262.32736863125814,262.5924587607192,262.73933933273105,262.89856540688845,263.2172863396323,263.57505934363365,263.57505934363365,263.57505934363365,263.8709115097759,263.91107893569,264.0772394773923,264.3634281249961,264.3634281249961,0.0,0.0,1
ck3frd,1389.6804314334283,1389.6804314334283,1389.6266798910417,1389.6266798910417,1389.6266798910417,1389.6266798910417,1389.6266798910417,1389.6266798910417,1389.5794410183967,1389.5794410183967,1389.5794410183967,1389.5275007429682,1389.5275007429682,0.0,1389.840837916702,1389.840837916702,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,1389.796185663567,0.0,0.0,0.0,0.0,1
ALL_SEN_1n6vos4,234.72974012681053,232.6752235585044,231.85329596535823,231.9799587830811,231.77479364460666,231.6462346790899,231.13678129410732,231.05428502843225,231.94190290674086,231.77192000110801,231.09475611748528,231.96600113809782,231.82279435163403,231.96997749924452,231.48220165274046,232.4164970177461,232.25313246326732,232.25313246326732,232.09996422662368,231.68829723143116,231.68829723143116,231.51992724169554,231.51992724169554,231.51992724169554,231.51992724169554,231.51992724169554,231.8201440449039,231.8201440449039,231.8201440449039,231.66609588155103,231.66609588155103,231.66609588155103,231.66609588155103,231.50454665297613,231.75220066484806,231.75220066484806,231.59410614478082,231.59410614478082,231.70362975361436,231.70362975361436,231.70362975361436,231.5532475393079,231.5532475393079,231.5532475393079,231.5532475393079,231.5532475393079,231.5532475393079,0.0,0.0,0.0,1
ALL_SEN_1n6vos4,124.36141648035374,123.48832950526133,123.48832950526133,0.0,123.64455366897484,123.64455366897484,123.75837387425547,123.82606078285782,123.86844261554272,123.31123678319021,123.63891143568031,123.22962670559382,123.22962670559382,123.58665511292067,123.50406321251135,124.00425489877354,124.07852786844306,123.11375142119584,124.44806810071421,123.66216464222191,123.6992127743746,123.6992127743746,123.6992127743746,123.6992127743746,123.6992127743746,123.6992127743746,123.6992127743746,123.6992127743746,123.6992127743746,123.6992127743746,123.37664730409884,123.37664730409884,123.37664730409884,123.37664730409884,123.37664730409884,123.37664730409884,123.37664730409884,123.37664730409884,124.63192342654429,124.95765865684264,123.88398072390152,124.3518445420091,125.43422595527905,125.43422595527905,126.39515957899653,126.39515957899653,126.69810314681116,126.69810314681116,126.73852765437982,0.0,1
