shared_id,10ms,20ms,30ms,40ms,50ms,60ms,70ms,80ms,90ms,100ms,110ms,120ms,130ms,140ms,150ms,160ms,170ms,180ms,190ms,200ms,210ms,220ms,230ms,240ms,250ms,260ms,270ms,280ms,290ms,300ms,310ms,320ms,330ms,340ms,350ms,360ms,370ms,380ms,390ms,400ms,410ms,420ms,430ms,440ms,450ms,460ms,470ms,480ms,490ms,500ms,genuine_transaction
ALL_SEN_3ckvqig,0.6146076898833261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023642931537150302,0.0,0.0,0.0,0.0,1
ALL_SEN_3ckvqig,1.0545922128389291,1.0545922128389291,0.0,0.5506580891820255,0.5411773777970462,0.5416382379897144,0.5641820804901259,0.5742686448410875,0.5577845177847323,0.5788495864265252,0.6095502797411011,0.6203290165416335,0.5752662742691488,0.5324872308591869,0.4078470347302881,0.2603414858461344,0.04008621312626541,0.04142526780833092,0.043697151387352105,0.051564770845379096,0.05051102267958389,0.039760241422597195,0.03758931364077989,0.038661062709671616,0.03931191952713155,0.043843148276779396,0.045311212990172704,0.03596850227227508,0.038872826470372,0.04811702952960676,0.054740648022331674,0.05432666897732474,0.06009032882673256,0.06734633675162935,0.05858974693937356,0.057288773174414595,0.05401496274672589,0.04436349698005129,0.04035757913230657,0.036100534314944574,0.03135857533916592,0.03802728276608175,0.04106563942318247,0.04549715854349624,0.04536985454995585,0.043635195060400964,0.04034255368073119,0.037254017204745804,0.0,0.0,1
18735mr,0.9312136218946699,0.9072524103444664,0.9486260335732375,0.9388816637842947,0.919930433016468,0.8990880759682685,0.8731677688588751,0.0,0.8528844884834217,0.8273849421650443,0.7394905494698832,0.5811455930771776,0.3389827474500183,0.09274143701082178,0.04710103561993124,0.07227984045074883,0.0576394336944848,0.053593633638467364,0.05225397776726182,0.05248733088176858,0.049556385194231035,0.046942321813189906,0.04066500116049897,0.04541917609058708,0.04898171816274367,0.04811896763592019,0.043738759611274616,0.0340704582368322,0.029054654251596018,0.02603354008849157,0.02576338166987327,0.02690755674369884,0.034607011241263724,0.03878152281978913,0.03470929409293583,0.03615346977708245,0.03306299297234787,0.0282339370848047,0.02423526514881279,0.0302609596921669,0.03449496043179063,0.03215902364526359,0.027499117322896675,0.02535274770055721,0.0316074802449712,0.032966921013292474,0.0,0.0,0.0,0.0,1
18735mr,1.090149030817632,0.6053457995991783,0.5644344351803131,0.5366024343229234,0.562986566556563,0.6017677751339441,0.5786839089071021,0.0,0.5711085198813635,0.6035446342299887,0.6182408010204341,0.6664271718288339,0.6272670742180537,0.5694550488885487,0.42189587621203994,0.1411409389236432,0.10205838389509507,0.10429260198625036,0.11481748170748274,0.09548372749624723,0.05753575535877722,0.02023246193600082,0.02927854873895308,0.047798986114730276,0.04821290456999863,0.04810054600055799,0.053795174851307935,0.05787202714988274,0.04253416567536796,0.0178096288346682,0.023644905716674977,0.028039978625146893,0.026572638372413793,0.023168629315215388,0.033119376267065515,0.036484817715139624,0.0230596566974593,0.01735599170568343,0.045058301378468286,0.04338218642652956,0.022350907765519165,0.025983323529226575,0.027722111999479264,0.027354556058680573,0.02948650951785345,0.025064091835613634,0.027088963643785928,0.0322979657704798,0.0,0.0,1
ALL_SEN_3beu7sh,0.49301272733314516,0.0,0.0,1.0306356341178566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522172945854244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06354393394032667,0.06354393394032667,0.06354393394032667,0.06354393394032667,0.06354393394032667,0.0,0.0,0.0,0.0,1
ALL_SEN_3beu7sh,1.8046857826782825,0.0,1.7866437531970614,1.0445305351736378,0.4968212574892029,0.5522489507938331,0.5450575651805292,0.5498111301129457,0.5500933901537471,0.5450305590972152,0.5566275587467073,0.6098107517429316,0.6578615339497776,0.6231069728951362,0.566626946454554,0.5283522682782653,0.28384766980307174,0.09113261574339283,0.05225844127016736,0.05449897336540252,0.0631130519361957,0.05693185410217582,0.04445277800969177,0.030763903782287806,0.035381440074711716,0.016978317604887053,0.011101121018035983,0.02891948547771682,0.022323760488828715,0.019118228127305733,0.032221332076098556,0.05700227008705036,0.03954261298818032,0.027068293112186198,0.0338024383680596,0.02704070795151305,0.025629055034880926,0.02171366013890468,0.026488247331910127,0.013559970355467098,0.07195644624409048,0.13605471896309845,0.07535772320431808,0.033380306091447126,0.04175052709965995,0.05156024604837263,0.07040603065263595,0.059769660900081206,0.03688786545468909,0.0,1
gja0mj,0.933420313456482,0.9863267632208267,0.9537463613535715,0.9505873196433298,0.930108637162669,0.9041703684660056,0.8810621536229918,0.8676059768656383,0.845481361442586,0.7962410658002141,0.675145326515297,0.44022440455698425,0.1151610577005963,0.0,0.07427604066240094,0.08864547360757287,0.07404457942448556,0.05883444155284359,0.0459754712718434,0.028617911871754907,0.026943936248232877,0.02749232911033797,0.0358463925207635,0.04417172468515719,0.05172824051586061,0.048162569389418125,0.041930014502691224,0.04429510150947024,0.05719506372015226,0.06479204533029814,0.06871487488397476,0.057208109572181,0.047855550396350914,0.049617528161223626,0.048483041421471376,0.03889681818701117,0.03586720708457699,0.027936651417935273,0.03191149652766703,0.038425074430501575,0.03504631420618028,0.03014513306374682,0.03566506262290744,0.03237441663594677,0.02510871714686748,0.021180822029193996,0.016040302223824757,0.01472742770139224,0.0,0.0,1
gja0mj,0.15089298967178594,0.862323924294996,0.6780734173381592,1.5353651815258778,0.9027443419376336,0.5806233208860755,0.5470434767611349,0.5450966028882137,0.5505603429442304,0.5441551125260583,0.5614597636628672,0.5822430825568324,0.6191371286610379,0.0,0.6566918293494007,0.6367484770874939,0.5832149478713561,0.5504992140726441,0.3385980520798129,0.08661101948096735,0.03786009536992221,0.056180508338691454,0.059593810597804955,0.05844148131623401,0.0618167237457292,0.06324520585033586,0.0570897612644743,0.046981058097627065,0.0333942774593038,0.0333047618353966,0.032979650934043564,0.029070705274685044,0.03237441663594678,0.036042343635143206,0.05979072647380003,0.060759598333949186,0.05733190901348806,0.05348909327649155,0.04893884550860032,0.038718931393093486,0.030120365325732784,0.02416780893243728,0.023401002878213447,0.03337751197443887,0.04418333835230313,0.05241885949225461,0.05893266821301917,0.06289613587204416,0.05760057508738892,0.0,1
1bnqemt,0.26512748077937637,1.7271456709160478,1.597009485269638,1.7067192313075181,1.4545704236262593,0.998260447742432,0.9513524924717928,0.9466658631991844,0.9283883632386035,0.9044952061243791,0.884152051593913,0.8611521483862875,0.8531437165726179,0.8127203727079874,0.7077829409242825,0.4801908877823055,0.12930914866683432,0.07263390819893469,0.061738955814037336,0.05816386972260171,0.06605329041073818,0.08580101675431487,0.07782900197378015,0.04206662285801841,0.016912253860552593,0.02898071130322603,0.03005525314084556,0.027908252969753553,0.028286754796168066,0.03602810590553563,0.02511614654571557,0.026565615431140402,0.0431644496810436,0.039050012336790924,0.043888871908739996,0.04233410517961759,0.03412654366671667,0.040110643516192604,0.045765999883453076,0.038869223882183924,0.03586200492391192,0.03491163040000551,0.03324167894133593,0.028838727924437747,0.027294810967279152,0.02992304506832276,0.02835592773200918,0.023981809761881984,0.027380122744848936,0.0,1
1bnqemt,0.58176289718287,0.4797585243379933,0.5444305379974379,0.540770488192523,0.5483008909465127,0.5634573768494384,0.5714503260159791,0.5967097551152463,0.63649009508182,0.6542145893407161,0.6335500776285672,0.5801504346129827,0.47788513284779055,0.1933600738028699,0.027841318020759277,0.04489132254821041,0.05049162314507893,0.05330302315062203,0.04998374728910289,0.043402607943152094,0.03771814670468789,0.034454369831948425,0.025262435595946108,0.022111718881078817,0.02580318206529755,0.028076551787870427,0.03271410163068473,0.037973271529642874,0.04361380943743469,0.04156689936058017,0.03249808973065709,0.03595423236676674,0.04088464064348465,0.04532871088874351,0.037807081052539056,0.03069863661581429,0.02405172801747995,0.02013076730109573,0.020482211741944915,0.02503988732709359,0.030268666203431133,0.031968452526459426,0.03178407721655788,0.03338030646477057,0.03577605719937571,0.03884281721197503,0.0,0.0,0.0,0.0,1
