shared_id,10ms,20ms,30ms,40ms,50ms,60ms,70ms,80ms,90ms,100ms,110ms,120ms,130ms,140ms,150ms,160ms,170ms,180ms,190ms,200ms,210ms,220ms,230ms,240ms,250ms,260ms,270ms,280ms,290ms,300ms,310ms,320ms,330ms,340ms,350ms,360ms,370ms,380ms,390ms,400ms,410ms,420ms,430ms,440ms,450ms,460ms,470ms,480ms,490ms,500ms,genuine_transaction
ALL_SEN_3ckvqig,9.8066484724865,9.8066484724865,9.8066484724865,9.8066484724865,9.8066484724865,9.8066484724865,9.806650948437555,9.806649379782215,9.806651687113897,9.806650093412948,9.8066502512915,9.80665041175317,9.806650800507906,9.80664965480657,9.806649976863925,9.806650610317542,9.806650610317542,9.80665049740623,0.0,9.80665014306556,9.806650209959766,9.806651141655543,9.806649449061934,9.806651807025178,9.80664893693576,9.80664869651042,9.80665075832123,9.806649861718185,9.806650220953596,9.806650160666726,9.806650510123045,9.806651572724443,9.806649024653888,9.806649209075694,9.8066494420933,9.806649526855287,9.806651382368537,9.806649747714566,9.806651737786137,9.806651948484467,9.8066504136784,9.806651576927566,9.806648767280125,9.806650521782599,9.806650293162287,9.806649343406848,9.80664923688871,9.806650429193093,9.80665036616579,0.0,1
ALL_SEN_3ckvqig,9.80665044418114,9.80665026858485,9.80665026858485,0.0,9.80665026858485,9.806650243219137,9.806650144874707,9.80665071854324,9.806650350610877,9.806650285007196,9.806650079009138,9.806650314489177,9.806650321350888,9.806649825302209,9.806650262880687,9.806649628030764,9.806650253347327,9.806650846218112,9.806649722086544,9.80665012107359,9.806650411283348,9.80664994819143,9.806650093524754,9.806650277639912,9.80665028837727,9.806650217712876,9.806650450100424,9.806650088352185,9.80665044749353,9.80665029078444,9.806649964646743,9.80664981118981,9.806649889412608,9.806649990041162,9.806650482155243,9.806650147157761,9.806650715853316,9.806650357514872,9.80665057630736,9.806649571413011,9.806650354474623,9.806650353488854,9.806649729093913,9.806650114826331,9.806650156220948,9.806650256221507,9.806650475391994,9.806650156338968,9.806650384932842,0.0,1
2o7o1v0,9.806650865800679,9.806651020033055,9.806651684142789,9.806650278350538,9.806649272522874,9.806650741075886,9.806649288434981,9.806651051939163,9.806649816158581,9.806649858639451,9.806649471582514,9.806649365942333,9.806648946102863,9.806651078312942,9.80665129415187,9.806650734007958,9.80664883604476,9.806651016795879,9.806649597372866,9.806650228594616,9.806648853829593,9.80665158465216,9.806650301808181,9.806651473503772,9.806649418899989,9.806651916025082,9.80664934980235,9.806651103317135,9.806651103317135,9.806648670863128,9.806650069418067,9.806650314377006,9.806650584315461,9.80665037845714,9.806650975518428,9.80665031549305,9.806652647093005,9.806650384598223,9.806650777671694,9.806652215490196,9.806651935376955,9.806651472980224,9.806649091032396,9.806651794347012,9.806651578870486,9.806651054721968,9.806652304216014,9.806651709052483,9.806648650307775,0.0,1
2o7o1v0,9.806650898815837,9.806650898815837,9.806650898815837,9.806650898815837,9.806650898815837,9.806650898815837,9.806650115101359,9.80664984970451,9.806650397902633,9.806650309366393,9.806650361748966,9.806650365028718,9.806650522171932,9.806650651415517,9.806650515146163,9.806650237781566,9.806650081010284,9.806650006609688,0.0,9.806650216713798,9.806650692324403,9.806649779770034,9.806649735646308,9.80664984367158,9.806649960128471,9.8066508092041,9.80665002416127,9.806649848292897,9.806649963541396,9.806649750446987,9.806650512482662,9.806650505558375,9.80665081370032,9.806650114362244,9.806650686352754,9.806650401745863,9.806650289426731,9.806650137797202,9.80665000378892,9.806649979769267,9.806649854449331,9.806650770740205,9.806650697497869,9.806649836436435,9.806650032271344,9.806650241448942,9.806649960249851,9.806649957667604,9.806650342464227,0.0,1
ALL_SEN_3beu7sh,9.806651723420291,9.806651351240117,9.806650563440297,9.806651618816508,9.80664981488792,9.80664981488792,9.806649329113931,9.806649447118517,9.806650779958979,9.80664878822932,9.806649532811992,9.806650774583506,9.806649821723546,9.806649140306849,9.806650643713796,9.806650675191813,9.806651894970823,9.806649414544035,9.806650985207439,9.806649187522556,9.806650089502531,9.806649124317161,9.80664985808629,9.806650253922015,9.80665000597255,9.806651855191788,9.80665000581042,9.806649769778597,9.806650946775482,9.806649658328952,9.80664861220855,9.80665031521536,9.806649373801305,9.806649471156675,9.806650917097148,9.80665222150772,9.806650454237346,9.806650857058631,9.806650697333229,9.80665003595502,9.806649699842549,9.806649852077493,9.806649852077493,9.806650362541664,9.806650096637425,9.806653054601558,9.806652718960027,9.806650153726459,9.806649918541986,0.0,1
ALL_SEN_3beu7sh,9.806649570673335,0.0,9.806649955863774,9.806649788419586,9.806650446336219,9.806650223658266,9.80664977644515,9.806650354382562,9.806650385418068,9.806650112399275,9.806650666905451,9.806650292396494,9.806650306830779,9.806649907832208,9.806650117493474,9.806650041822696,9.806650024903469,9.806650208296231,9.806649994527039,9.806650350122284,9.806650018011643,9.806650018011643,9.806649935152977,9.806649801502099,9.806649927941766,9.806650511624273,9.806650060537402,9.80664928241402,9.806650419840832,9.80665015982664,9.806649800680258,9.806650214714928,9.806649944066484,9.806649887764365,9.806650287358488,9.806650522206722,9.806650117589442,9.806650699132085,9.806650362817745,9.806650339848387,9.806650244577614,9.806649564760475,9.806649867609782,9.806650460949582,9.806649540089644,9.806650293879088,9.806649716553238,9.806650418758155,9.806650098914787,0.0,1
ese4sn,9.806648818521507,9.80665071913636,9.806649947700235,9.80665039820464,9.806649895058701,9.806649618271566,9.806649406428404,9.806649406428404,9.806649983826325,9.80665065316513,9.806651418597808,9.806650768741067,9.806651648636885,9.806651515978267,9.806649409080798,9.806651577043345,9.80665033459411,9.806650701948179,9.806650087163987,9.806649873307007,9.806649828660465,9.806651520282307,9.806651084519846,9.806650593401631,9.80665046635727,9.806650255241767,9.806649864429012,9.806650836640811,9.806651033360474,9.806649582800695,9.806649007127758,9.806651334199408,9.806649982402684,9.806650336979718,9.806649717916155,9.80665062082911,9.806652920225654,9.806650812047184,9.806652234848928,9.806650712043012,9.806651296647486,9.806653663935258,9.806650549919247,9.806652242289829,9.806652242289829,9.806651420923021,9.806651568027284,0.0,0.0,0.0,1
ese4sn,9.806650223938762,9.806650223938762,9.806650223938762,9.806650223938762,9.806650223938762,9.806650223938762,9.806650172189698,9.806650016046529,0.0,9.806650117251769,9.806650170450771,9.80664989335621,9.806650117679943,9.806649940308443,9.806649995507831,9.806650366810153,9.806650463494288,9.806650137927573,9.806650249586882,9.806649610823769,9.806650046924785,9.80665000276065,9.806650690053853,9.806650435001986,9.80665004870057,9.80664998573426,9.80665045384491,9.806650143179752,9.806650209982257,9.80664986575829,9.806650304060645,9.806650150374592,9.806650497348096,9.806649651993133,9.80664998798999,9.80665080181916,9.806650103701877,9.806649778945552,9.8066501003082,9.806650445224308,9.806650228704145,9.80665032838576,9.806650944489617,9.806649956116459,9.806650479024329,9.8066500302266,9.806650128314574,9.806649256138217,9.806650016065133,0.0,1
3rbldi7,9.80665031488841,9.80665031488841,9.806650365041785,9.806650375876606,9.80665073211357,9.80665031096648,9.806650558524295,9.806651615029189,9.80664996965115,9.806651970463614,9.806649493558853,9.806649447143876,9.806649688098917,9.806649915510162,9.806650102819095,9.806651089362765,9.806649450428027,9.80665154206222,9.806650571381756,9.80665073671014,9.806650100713885,9.806650887722581,9.806651786335516,9.806650412301867,9.806649919602531,9.806650483207267,9.806651722264924,9.80664855480267,9.806650902886325,9.806650074260439,9.806649534446068,9.806649655927652,9.806649548142975,9.806649548142975,9.806651065932945,9.806652029308225,9.806653145809758,9.806652765016421,9.806651312465135,9.806649650374654,9.806650203386226,9.806650281387924,9.806652460807863,9.806649107261745,9.806651672196184,9.806653862353583,9.806649882167445,9.80665100559111,9.806650487557768,0.0,1
3rbldi7,9.806649960633226,9.806650546929951,9.806650546929951,9.806650546929951,9.806650546929951,9.806650546929951,9.806650485927161,9.806650095664175,9.806649775684484,9.806650269184885,9.806650537923765,9.806650092839993,9.806650260055864,9.806650322613764,9.806649787214694,9.806650139372017,9.806650333125871,9.806650492952333,9.806650355953966,9.806650356826633,9.806650085054962,9.806649695417283,9.806650108515642,9.806650228086614,9.806650304486348,9.806650116631223,9.806649790115008,9.80664994501903,9.806649945699649,9.806650077780409,9.806650072250775,9.806650306839703,9.806649692219436,9.806650137266262,9.806650105061621,9.80665028838462,9.806650219529613,9.806650261291143,9.806649655946927,9.80664991550938,9.806650383506136,9.806650237163236,9.80665029086741,9.806650621950444,9.806650100202743,9.806650215857065,9.806650408627581,9.80665069947733,9.806650314616476,0.0,1
