Modality,H_0,H_1,H_2,H_inf
"[Acc., Grav., Lin. Acc., Mag. Field]",27.099713630222084,15.64926493700684,11.297372810790936,5.8628048983054555
"[Acc., Grav., Lin. Acc., Rot. Vec.]",24.170796728283566,13.212359618140152,9.26605140647155,5.581244845078808
"[Acc., Grav., Mag. Field, Rot. Vec.]",23.03196902358625,13.856827733573281,10.665083583314452,6.227388779964909
"[Acc., Gyro., Light, Lin. Acc.]",32.46471044700133,18.24206793353288,12.0364853971605,6.263029533601017
"[Acc., Gyro., Light, Mag. Field]",31.325882742304017,18.680717028673012,13.051930057451372,6.709893970457509
"[Acc., Gyro., Light, Rot. Vec.]",28.396965840365496,16.478642186490177,10.982256126277914,6.275471019205542
"[Acc., Gyro., Lin. Acc., Mag. Field]",33.50910456635979,19.022534332171297,11.890928593161414,6.0199066265124666
"[Acc., Gyro., Lin. Acc., Rot. Vec.]",30.580187664421267,16.585629013304608,10.605064423660437,5.738346573285819
"[Acc., Gyro., Mag. Field, Rot. Vec.]",29.44135995972395,17.22600605951016,11.935080221726277,6.38097944525404
"[Acc., Light, Lin. Acc., Mag. Field]",32.68467613094324,19.273565122438466,13.169735593375835,6.713440129656027
"[Acc., Light, Lin. Acc., Rot. Vec.]",29.755759229004724,17.071490280255617,11.429951704767404,6.279017178404059
"[Acc., Light, Mag. Field, Rot. Vec.]",28.616931524307404,17.47703684977732,13.036779886448041,7.074512948397601
"[Acc., Lin. Acc., Mag. Field, Rot. Vec.]",30.800153348363175,17.81885415327561,12.174378787461656,6.384525604452557
"[Grav., Gyro., Light, Lin. Acc.]",23.762537761635784,14.095332382196197,10.347650777916648,6.156387845408625
"[Grav., Gyro., Light, Mag. Field]",22.623710056938467,13.440875471208738,10.600498280918412,6.579946740231359
"[Grav., Gyro., Light, Rot. Vec.]",19.69479315499995,11.094385582865305,6.9403945530091695,4.333100485865226
"[Grav., Gyro., Lin. Acc., Mag. Field]",24.806931880994238,14.853046336951792,10.907641246791485,5.833410899118549
