Modality,H_0,H_1,H_2,H_inf
"[Gyro.x, Ori.x]",16.075562713740748,11.139193682035156,7.909708701008457,5.0295555211572465
"[Gyro.x, Ori.y]",16.358496677012248,11.288250954775297,7.7345202400838025,4.520160897026828
"[Gyro.x, Ori.z]",15.490600213019594,11.199840105736449,8.531195013443956,4.990916493909187
"[Gyro.x, Grav.x]",15.869111836273323,11.145301957945282,7.674830576178431,4.79180447944422
"[Gyro.x, Grav.y]",16.16867211813223,11.207974678891556,7.778604588826241,4.872392400930387
"[Gyro.x, Grav.z]",15.026653113259801,10.198663504671273,6.354511003199313,3.465101879236511
"[Gyro.x, LinAcc.x]",19.7741516361939,10.851784885235267,6.779952286029027,3.895759260868847
"[Gyro.x, LinAcc.y]",20.011022461546037,10.989061732489988,6.845873290352883,3.9173353615280795
"[Gyro.x, LinAcc.z]",19.817928295649544,11.303410313340533,7.406066678676817,4.308656791833116
"[Gyro.x, Pressure]",16.075562713740748,10.904393256161633,8.277709984287053,5.417181248611285
"[Gyro.x, Altitude]",17.00156213229697,10.245787516734566,6.767271952725744,4.132620006188407
"[Gyro.x, Temp.]",14.25613495938257,9.093628738369693,6.399062728529898,4.137676185572443
"[Gyro.y, Gyro.z]",20.72310428286528,10.714192947662447,5.348571773857875,3.097303893288684
"[Gyro.y, Mag.x]",17.741940924878133,11.309738480203894,8.092167911677253,4.7851774809249745
"[Gyro.y, Mag.y]",17.489753901281333,11.262054120957998,8.123118617546815,4.761569217086873
"[Gyro.y, Mag.z]",17.49783624757919,11.134061715830441,8.130977257117054,4.9209629597202085
"[Gyro.y, Ori.w]",14.821375392372538,10.749889828228472,7.499058084611776,4.225561176069653
"[Gyro.y, Ori.x]",15.920911065923452,11.100260397584453,7.584712751678062,4.653817964380472
"[Gyro.y, Ori.y]",16.20384502919495,11.272757551448038,7.554558886141582,4.4326333246473295
"[Gyro.y, Ori.z]",15.335948565202298,11.158205295379581,8.12051624572099,4.587746793082762
"[Gyro.y, Grav.x]",15.714460188456027,11.073595471464387,7.129180866293068,4.183125909749257
"[Gyro.y, Grav.y]",16.014020470314932,11.16017847548352,7.185006561853132,3.9757460592678333
"[Gyro.y, Grav.z]",14.872001465442505,10.129025337708004,6.000459228426846,3.429013008968632
"[Gyro.y, LinAcc.x]",19.619499988376603,10.695980550524997,6.019533861168681,3.645991934118716
"[Gyro.y, LinAcc.y]",19.85637081372874,10.857599255896254,6.120451912038047,3.6489969238343587
"[Gyro.y, LinAcc.z]",19.663276647832248,11.159553792063669,6.704465824015445,4.150394707916384
"[Gyro.y, Pressure]",15.920911065923452,10.879767887904215,7.893192086970839,4.845945731001641
"[Gyro.y, Altitude]",16.846910484479675,10.208808139025273,5.936737140112848,3.094433673417374
"[Gyro.y, Temp.]",14.101483311565273,9.052783836750745,5.735125587047723,3.0973038932886845
"[Gyro.z, Mag.x]",18.437004267113544,11.271588038657463,7.413486076503918,4.528991498680448
"[Gyro.z, Mag.y]",18.18481724351674,11.242981808473044,7.519817873634516,4.460871098958492
"[Gyro.z, Mag.z]",18.1928995898146,11.162913217095495,7.7210245948709515,4.6695985470710495
"[Gyro.z, Ori.w]",15.516438734607947,10.749783083016327,6.93846648469529,4.003937986977976
"[Gyro.z, Ori.x]",16.615974408158863,11.068397183390388,6.960043166785545,4.2683580452706735
"[Gyro.z, Ori.y]",16.89890837143036,11.219589528063459,6.938338994711079,4.129259037770521
"[Gyro.z, Ori.z]",16.031011907437705,11.16153937825186,7.613431470346592,4.286961720733797
"[Gyro.z, Grav.x]",16.409523530691434,10.980294397877724,6.162117757312221,3.342796477815216
"[Gyro.z, Grav.y]",16.709083812550343,11.111176373775418,6.6447459440496095,3.6967037772336475
"[Gyro.z, Grav.z]",15.567064807677916,10.07481545221015,5.039010302643137,2.644791688591178
"[Gyro.z, LinAcc.x]",20.31456333061201,10.470374526735945,4.84957810864813,2.5428984411546125
"[Gyro.z, LinAcc.y]",20.551434155964152,10.617836899797247,4.93585167575339,2.5756883762722818
"[Gyro.z, LinAcc.z]",20.358339990067655,10.959223071352245,5.564656657940435,3.1397881681497166
"[Gyro.z, Pressure]",16.615974408158863,10.927435939434117,7.368866713631307,4.1980127281491235
"[Gyro.z, Altitude]",17.541973826715086,10.241940116184391,5.363279623508526,2.7230608355404704
"[Gyro.z, Temp.]",14.796546653800682,9.153492465631441,5.213034538892398,2.725279147956928
"[Mag.x, Mag.y]",15.203653885529597,10.342328292567032,8.424307614777685,4.875204672855774
"[Mag.x, Mag.z]",15.211736231827455,10.089279602832566,8.378207521406814,5.0047076295893955
"[Mag.x, Ori.w]",12.535275376620802,9.771715533543517,8.191801662893088,4.700439718141092
"[Mag.x, Ori.x]",13.634811050171717,10.318012075702567,8.241439306559606,4.730680721428066
"[Mag.x, Ori.y]",13.917745013443216,10.404416981553476,8.480171183489007,5.066041232507435
"[Mag.x, Ori.z]",13.049848549450562,10.100015170528849,8.325013818954632,4.702935730945162
"[Mag.x, Grav.x]",13.428360172704291,9.929017793362775,7.99406086109353,4.702935730945162
"[Mag.x, Grav.y]",13.727920454563199,10.565405961708116,8.249124456388259,4.712963191232757
"[Mag.x, Grav.z]",12.58590144969077,9.282985743692697,7.310296408507004,4.556940746301588
"[Mag.x, LinAcc.x]",17.333399972624868,10.933874823862835,8.03075170503763,5.046890132162523
"[Mag.x, LinAcc.y]",17.570270797977006,11.134246940578231,8.101914720211225,4.872392400930387
"[Mag.x, LinAcc.z]",17.377176632080513,11.447689223645288,8.74856634547004,5.709194721416845
"[Mag.x, Pressure]",13.634811050171717,9.936721418365362,8.570419202596092,5.7345058099460315
"[Mag.x, Altitude]",14.56081046872794,9.3735819481869,7.115570485068864,4.444070966860323
"[Mag.x, Temp.]",11.815383295813538,8.145420344698474,6.929846054046501,4.448252694544291
"[Mag.y, Mag.z]",14.959549208230655,10.041679301028463,8.323502310279848,4.93116903087067
"[Mag.y, Ori.w]",12.283088353024002,9.611066429174205,8.036413807314567,4.5762603069203625
"[Mag.y, Ori.x]",13.382624026574916,10.160938616319847,8.140822441147932,4.605149839344207
"[Mag.y, Ori.y]",13.665557989846416,10.495276766458314,8.474166116715926,5.08871030785715
"[Mag.y, Ori.z]",12.79766152585376,9.993828306556313,8.18448190270666,4.591210648386334
"[Mag.y, Grav.x]",13.17617314910749,10.274972380605796,8.024937322927993,4.552432320629841
"[Mag.y, Grav.y]",13.475733430966397,10.14418518025722,8.024464847618546,4.588900487699132
"[Mag.y, Grav.z]",12.33371442609397,9.291972694640048,7.457232091391203,4.588900487699132
"[Mag.y, LinAcc.x]",17.081212949028068,10.902772975370752,8.115093902340664,4.965220879405123
"[Mag.y, LinAcc.y]",17.318083774380206,11.10163417732987,8.164601672735742,4.80649192277176
"[Mag.y, LinAcc.z]",17.124989608483713,11.413651364646494,8.811242521258205,5.6145180218784025
"[Mag.y, Pressure]",13.382624026574916,9.850779893918798,8.515771837189664,5.737061514849788
"[Mag.y, Altitude]",14.30862344513114,9.285158915515057,7.04819119123507,4.34523140673227
"[Mag.y, Temp.]",11.563196272216736,8.03544086097792,6.856490532351452,4.34523140673227
"[Mag.z, Ori.w]",12.29117069932186,9.44293231001743,8.084809876850743,4.721794758196478
"[Mag.z, Ori.x]",13.390706372872774,9.846792730823731,8.020979625630732,4.739621755168352
"[Mag.z, Ori.y]",13.673640336144274,10.17944358428345,8.372516313261343,5.1971327677431365
"[Mag.z, Ori.z]",12.80574387215162,9.880463435919115,8.250871728275166,4.714221538491677
"[Mag.z, Grav.x]",13.184255495405349,10.028454172404826,8.061357005743863,4.7268657477439
"[Mag.z, Grav.y]",13.483815777264256,10.213984493851619,8.055886515026698,4.699193329259345
"[Mag.z, Grav.z]",12.341796772391827,8.760201090451655,7.212280889238498,4.688024021541234
"[Mag.z, LinAcc.x]",17.089295295325925,10.790938046617033,8.288508495641945,5.174440181883035
"[Mag.z, LinAcc.y]",17.326166120678064,10.99429199478891,8.345225703541152,5.00933412753892
"[Mag.z, LinAcc.z]",17.13307195478157,11.298663673279771,8.95113540999937,5.829488955134556
"[Mag.z, Pressure]",13.390706372872774,9.607821083519354,8.348635045651116,5.913716861911322
"[Mag.z, Altitude]",14.316705791428998,9.096779810045334,7.252055250493347,4.544576318886931
"[Mag.z, Temp.]",11.571278618514595,7.860692776914025,6.977285573594115,4.544576318886931
"[Ori.w, Ori.x]",10.714245517666122,9.481623205174177,7.609416555456758,4.384759770918907
"[Ori.w, Ori.y]",10.997179480937621,9.752317862213012,8.000040820196189,4.937033652933889
"[Ori.w, Ori.z]",10.129283016944967,9.03933665710171,7.6389458013285045,4.364860213481203
"[Ori.w, Grav.x]",10.507794640198696,9.55088118945623,7.393289085935249,4.051654126720059
"[Ori.w, Grav.y]",10.807354922057604,9.779599297941193,7.4391216006698935,4.0476830395970955
"[Ori.w, Grav.z]",9.665335917185175,7.9986157274360865,6.299697615633038,3.868884752616328
"[Ori.w, LinAcc.x]",14.412834440119273,10.340572951112605,7.55980986427419,4.5378764846746655
"[Ori.w, LinAcc.y]",14.649705265471411,10.549779373495436,7.609785219641511,4.4141105946513175
"[Ori.w, LinAcc.z]",14.456611099574918,10.88696620973387,8.262998660254036,5.2077278829823355
"[Ori.w, Pressure]",10.714245517666122,9.26162246807905,8.247146769737775,5.579696660369293
"[Ori.w, Altitude]",11.640244936222345,8.601245819491062,6.460752435781322,3.716741530470193
"[Ori.w, Temp.]",8.894817763307943,7.2846981474271,6.256980000692125,3.718003179034104
"[Ori.x, Ori.y]",12.096715154488535,10.267957404294872,7.66440709323184,4.811870102498326
"[Ori.x, Ori.z]",11.228818690495881,9.982568294030976,8.011344866123618,4.415133419962426
"[Ori.x, Grav.x]",11.60733031374961,9.999171869922563,7.466140725548321,4.414110594651318
"[Ori.x, Grav.y]",11.90689059560852,9.940746717394067,7.34424975302293,4.387768520791245
"[Ori.x, Grav.z]",10.76487159073609,8.405345039956096,6.155174597770282,3.815241674588771
"[Ori.x, LinAcc.x]",15.512370113670187,10.767245471057914,7.6134783010494,4.803810332704375
"[Ori.x, LinAcc.y]",15.749240939022325,10.958884100957565,7.6954164113531265,4.740903581144183
"[Ori.x, LinAcc.z]",15.556146773125832,11.316206046893337,8.358471035232489,5.327790958789831
"[Ori.x, Pressure]",11.813781191217037,9.812125532570416,8.439331884128315,5.694218513844053
"[Ori.x, Altitude]",12.739780609773259,9.25236545866899,7.321410376165374,4.365848699330691
"[Ori.x, Temp.]",9.994353436858859,7.901424170257048,6.90199825661339,4.365848699330691
"[Ori.y, Ori.z]",11.511752653767381,10.2224965696739,8.420071476343454,4.9209629597202085
"[Ori.y, Grav.x]",11.89026427702111,9.934937998156503,7.550019343643178,4.833585583654035
"[Ori.y, Grav.y]",12.189824558880018,10.474043041570699,7.838311456200969,4.944398115280197
"[Ori.y, Grav.z]",11.047805554007589,8.632634408175733,6.290933910880889,3.772014113684213
"[Ori.y, LinAcc.x]",15.795304076941687,10.955309020202384,7.576042854539932,4.521261770823769
"[Ori.y, LinAcc.y]",16.032174902293825,11.137102322596903,7.677701538052833,4.586594020315964
"[Ori.y, LinAcc.z]",15.839080736397332,11.470038967169684,8.247745606264761,4.899332943748666
"[Ori.y, Pressure]",12.096715154488535,10.023621505733882,8.447617050561858,5.6818560128263345
"[Ori.y, Altitude]",13.022714573044759,9.483836513792102,7.564911568430124,4.772014113684214
"[Ori.y, Temp.]",10.277287400130357,8.201092040086547,7.150753848690434,4.7825351815766775
"[Ori.z, Grav.x]",11.022367813028454,10.081377850704003,7.949067922743926,4.354031335993752
"[Ori.z, Grav.y]",11.321928094887362,10.258207382657474,7.994979743568861,4.387768520791245
"[Ori.z, Grav.z]",10.179909090014934,8.754214469930176,7.2425301292867,4.24907898277579
"[Ori.z, LinAcc.x]",14.927407612949033,10.789913081720336,8.207144247649035,4.80917850649206
"[Ori.z, LinAcc.y]",15.16427843830117,10.98757640758032,8.217731067458894,4.655025745983777
"[Ori.z, LinAcc.z]",14.971184272404678,11.319101146505712,8.934710648189435,5.49940233686003
"[Ori.z, Pressure]",11.228818690495881,9.67881705687547,8.499508643323571,5.5751166722660335
"[Ori.z, Altitude]",12.154818109052105,9.067295363911235,6.932208543905065,4.070063245262621
"[Ori.z, Temp.]",9.4093909361377,7.821402913698968,6.762481543350204,4.072481846065265
"[Grav.x, Grav.y]",11.70043971814109,9.953180980646273,7.298353662855067,4.032691815959548
"[Grav.x, Grav.z]",10.558420713268664,8.514000836470698,6.198815345983029,3.957004628645328
"[Grav.x, LinAcc.x]",15.305919236202762,10.686109172347024,6.820443287441457,3.761569217086872
"[Grav.x, LinAcc.y]",15.5427900615549,10.887708020743517,6.873279092973174,3.736422164056746
